15,1050,每日签到卡牌选中v01,Daily Signin Card Selected v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_signin_card_selected_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
16,1051,每日签到面板外框固定v01,Daily Signin Panel Shell Fixed v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_signin_panel_shell_fixed_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
17,1052,每日任务面板外框固定v01,Daily Task Panel Shell Fixed v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_task_panel_shell_fixed_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
18,1053,每日任务行默认v01,Daily Task Row Default v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_task_row_default_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
19,1054,每日任务行选中v01,Daily Task Row Selected v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_task_row_selected_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
20,1055,每日标题tabv01,Daily Title Tab v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_title_tab_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
21,1056,每日图标活跃星阶v01,Daily Icon Activity Star v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_activity_star_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup.
22,1057,每日图标挑战v01,Daily Icon Challenge v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_challenge_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup.
23,1058,每日图标宝箱v01,Daily Icon Chest v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_chest_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
24,1059,每日图标已领取checkv01,Daily Icon Claimed Check v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_claimed_check_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup.
25,1060,每日图标金币v01,Daily Icon Coin v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_coin_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup.
26,1061,每日图标宝石v01,Daily Icon Gem v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_gem_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup.
27,1062,每日图标登录v01,Daily Icon Login v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_login_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup.
28,1063,每日图标合成v01,Daily Icon Merge v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_merge_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup.
29,1064,每日图标怪物v01,Daily Icon Monster v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/icons/daily_icon_monster_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup.
30,1065,签到卡牌默认v01,Signin Card Default v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_card_default_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
31,1066,签到卡牌premiumv01,Signin Card Premium v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_card_premium_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
32,1067,签到卡牌选中v01,Signin Card Selected v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_card_selected_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
33,1068,签到领取按钮默认v01,Signin Claim Button Default v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_claim_button_default_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
34,1069,签到已领取checkv01,Signin Claimed Check v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_claimed_check_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
35,1070,签到关闭按钮bgv01,Signin Close Button Bg v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_close_button_bg_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
36,1071,签到关闭图标v01,Signin Close Icon v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_close_icon_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
37,1072,签到面板外框裁切v01,Signin Panel Shell Cropped v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_panel_shell_cropped_v01.tres,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition. 来源链需人工复核。 / Provenance chain requires manual review.
38,1073,签到面板外框固定v01,Signin Panel Shell Fixed v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_panel_shell_fixed_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
39,1074,签到奖励宝箱v01,Signin Reward Chest v01,每日签到,Daily Sign-In UI,assets/runtime/ui/daily_signin_hd_v01/signin_reward_chest_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,MEDIUM / 中,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition.
