审核行号 / Review Row ID,原总账行号 / Catalog Row ID,资源中文名 / Asset Name CN,资源英文名 / Asset Name EN,模块中文 / Module CN,模块英文 / Module EN,运行路径 / Runtime Path,当前版本 / Runtime Version,生产与QA证据路径 / Production and QA Evidence,透明底检查 / White Gray Black QA,Godot截图 / Godot Screenshot,设备审核 / Device Review,最终视觉审核 / Final Visual Review,审核责任 / Review Owner,当前备注 / Current Notes
11,1141,每日按钮已领取v01,Daily Button Claimed v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_button_claimed_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_button_claimed_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
12,1142,每日按钮禁用v01,Daily Button Disabled v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_button_disabled_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_button_disabled_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
13,1143,每日图标槽位选中v01,Daily Icon Slot Selected v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_icon_slot_selected_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_icon_slot_selected_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
14,1144,每日图标槽位v01,Daily Icon Slot v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_icon_slot_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_icon_slot_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
15,1145,每日进度填充v01,Daily Progress Fill v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_progress_fill_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_progress_fill_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
16,1146,每日进度轨道v01,Daily Progress Track v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_progress_track_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_progress_track_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
17,1147,每日return按钮v02,Daily Return Button v02,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_return_button_v02.png,v02,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_return_button_v02.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
18,1148,每日签到卡牌默认v01,Daily Signin Card Default v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_signin_card_default_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts/backplates/daily_signin_card_default_v01.png | art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_card_default_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
19,1149,每日签到卡牌premiumv01,Daily Signin Card Premium v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_signin_card_premium_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts/backplates/daily_signin_card_premium_v01.png | art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_card_premium_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
20,1150,每日签到卡牌选中v01,Daily Signin Card Selected v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_signin_card_selected_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts/backplates/daily_signin_card_selected_v01.png | art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_card_selected_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
21,1151,每日签到面板外框固定v01,Daily Signin Panel Shell Fixed v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_signin_panel_shell_fixed_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_panel_shell_fixed_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
22,1152,每日任务面板外框固定v01,Daily Task Panel Shell Fixed v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_task_panel_shell_fixed_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_panel_shell_fixed_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
23,1153,每日任务行默认v01,Daily Task Row Default v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_task_row_default_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_row_default_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
24,1154,每日任务行选中v01,Daily Task Row Selected v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_task_row_selected_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_row_selected_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
25,1155,每日标题tabv01,Daily Title Tab v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_title_tab_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_title_tab_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
26,1156,每日图标活跃星阶v01,Daily Icon Activity Star v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_activity_star_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_activity_star_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
27,1157,每日图标挑战v01,Daily Icon Challenge v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_challenge_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_challenge_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
28,1158,每日图标宝箱v01,Daily Icon Chest v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_chest_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_chest_v01.png | art/production/ui/daily_signin/2026-08-14_cutouts_v01/cutouts/signin_reward_chest_v01.png | art/production/ui/daily_signin/2026-08-14_cutouts_v01/daily_signin_cutouts_v01/cutouts/signin_reward_chest_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
29,1159,每日图标已领取checkv01,Daily Icon Claimed Check v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_claimed_check_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_claimed_check_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
30,1160,每日图标金币v01,Daily Icon Coin v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_coin_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_coin_v01.png | art/production/ui/daily_signin/2026-08-14_cutouts_v01/cutouts/signin_reward_coin_v01.png | art/production/ui/daily_signin/2026-08-14_cutouts_v01/daily_signin_cutouts_v01/cutouts/signin_reward_coin_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
31,1161,每日图标宝石v01,Daily Icon Gem v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_gem_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_gem_v01.png | art/production/ui/daily_signin/2026-08-14_cutouts_v01/cutouts/signin_reward_gem_v01.png | art/production/ui/daily_signin/2026-08-14_cutouts_v01/daily_signin_cutouts_v01/cutouts/signin_reward_gem_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
32,1162,每日图标登录v01,Daily Icon Login v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_login_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_login_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
33,1163,每日图标合成v01,Daily Icon Merge v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_merge_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_merge_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
34,1164,每日图标怪物v01,Daily Icon Monster v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_icon_monster_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_monster_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
35,1165,待命名（Daily Return Arrow v02）,Daily Return Arrow v02,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/icons/daily_return_arrow_v02.png,v02,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_return_arrow_v02.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
36,1166,界面退出确认外框v03,Ui Exit Confirm Shell v03,退出确认界面,Exit Confirmation UI,assets/runtime/ui/interfaces/exit_confirm/backplates/ui_exit_confirm_shell_v03.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge/ui_exit_confirm_shell_v03.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
37,1167,界面首充购买礼包外框v03,Ui First Purchase Gift Shell v03,首充礼包界面,First Purchase UI,assets/runtime/ui/interfaces/first_purchase/backplates/ui_first_purchase_gift_shell_v03.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge/ui_first_purchase_gift_shell_v03.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
38,1168,待命名（Reward Slot Purple）,Reward Slot Purple,首充礼包界面,First Purchase UI,assets/runtime/ui/interfaces/first_purchase/decorations/reward_slot_purple.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/commerce/reward_slot_purple.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
39,1169,待命名（First Chest Open）,First Chest Open,首充礼包界面,First Purchase UI,assets/runtime/ui/interfaces/first_purchase/rewards/first_chest_open.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/commerce/first_chest_open.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
40,1202,界面存钱罐外框v03,Ui Piggy Bank Shell v03,存钱罐界面,Piggy Bank UI,assets/runtime/ui/interfaces/piggy_bank/backplates/ui_piggy_bank_shell_v03.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge/ui_piggy_bank_shell_v03.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
41,1203,界面设置外框v03,Ui Settings Shell v03,设置界面,Settings UI,assets/runtime/ui/interfaces/settings/backplates/ui_settings_shell_v03.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge/ui_settings_shell_v03.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
42,1204,待命名（Switch Off）,Switch Off,设置界面,Settings UI,assets/runtime/ui/interfaces/settings/controls/switch_off.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/switch_off.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
43,1205,待命名（Switch On）,Switch On,设置界面,Settings UI,assets/runtime/ui/interfaces/settings/controls/switch_on.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/switch_on.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
44,1350,待命名（Panel Light）,Panel Light,共用界面资源,Shared UI,assets/runtime/ui/shared/backplates/panels/panel_light.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/panel_light.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
45,1351,待命名（Button Blue Default）,Button Blue Default,共用界面资源,Shared UI,assets/runtime/ui/shared/buttons/states/button_blue_default.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/button_blue_default.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
46,1352,待命名（Button Blue Pressed）,Button Blue Pressed,共用界面资源,Shared UI,assets/runtime/ui/shared/buttons/states/button_blue_pressed.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/button_blue_pressed.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
