序号 / ID,层级 / Depth,当前目录 / Current Directory,父目录 / Parent Directory,目录类别 / Directory Category,状态 / Status,直属文件数 / Direct Files,目录内总账资源数 / Catalog Assets Under Directory,当前在用资源数 / Active Assets,对应运行或生产目录 / Runtime or Production Counterpart,原始来源目录 / Original Source Directories,可否直接修改 / Direct Editing,图集规则 / Atlas Rule
1,1,art/ai_generated/,art/,历史来源 / Historical Source,生产/历史资源 / Production or historical,0,161,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
84,3,art/production/lobby/2026-08-09_crystal_stage_background_v01/,art/production/lobby/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,19,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
85,4,art/production/lobby/2026-08-09_crystal_stage_background_v01/chroma/,art/production/lobby/2026-08-09_crystal_stage_background_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
86,4,art/production/lobby/2026-08-09_crystal_stage_background_v01/cutouts/,art/production/lobby/2026-08-09_crystal_stage_background_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,2,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
87,4,art/production/lobby/2026-08-09_crystal_stage_background_v01/previews/,art/production/lobby/2026-08-09_crystal_stage_background_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
88,4,art/production/lobby/2026-08-09_crystal_stage_background_v01/qa/,art/production/lobby/2026-08-09_crystal_stage_background_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,12,14,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
89,5,art/production/lobby/2026-08-09_crystal_stage_background_v01/qa/rejected/,art/production/lobby/2026-08-09_crystal_stage_background_v01/qa/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,2,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
90,4,art/production/lobby/2026-08-09_crystal_stage_background_v01/source/,art/production/lobby/2026-08-09_crystal_stage_background_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
91,3,art/production/lobby/2026-08-16_main_hub_runtime_alignment_v01/,art/production/lobby/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
92,2,art/production/ui/,art/production/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,437,0,assets/runtime/ui/daily_program_composition_v01/icons | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
93,3,art/production/ui/benefits_popup/,art/production/ui/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,17,0,assets/runtime/ui/interfaces/benefits/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
94,4,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/,art/production/ui/benefits_popup/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,17,0,assets/runtime/ui/interfaces/benefits/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
95,5,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,8,0,assets/runtime/ui/interfaces/benefits/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
96,6,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/backplates/,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,5,5,0,assets/runtime/ui/interfaces/benefits/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
97,6,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/icons/,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,3,3,0,assets/runtime/ui/interfaces/benefits/icons,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
98,5,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/previews/,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
99,5,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/qa/,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
100,5,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/source/,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
101,3,art/production/ui/chapter01/,art/production/ui/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,191,0,assets/runtime/ui/interfaces/battle_pause/backplates | assets/runtime/ui/interfaces/exit_confirm/backplates | assets/runtime/ui/interfaces/first_purchase/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
102,4,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/,art/production/ui/chapter01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,118,0,assets/runtime/ui/interfaces/first_purchase/decorations | assets/runtime/ui/interfaces/first_purchase/rewards | assets/runtime/ui/interfaces/settings/controls,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
103,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,104,0,assets/runtime/ui/interfaces/first_purchase/decorations | assets/runtime/ui/interfaces/first_purchase/rewards | assets/runtime/ui/interfaces/settings/controls,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
104,6,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,94,0,assets/runtime/ui/interfaces/first_purchase/decorations | assets/runtime/ui/interfaces/first_purchase/rewards | assets/runtime/ui/interfaces/settings/controls,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
105,7,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,20,20,0,assets/runtime/ui/interfaces/settings/controls | assets/runtime/ui/secondary_centered_v04/elements/common,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
106,7,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/icons/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,24,33,0,assets/runtime/ui/interfaces/shop/icons | assets/runtime/ui/secondary_centered_v04/elements/icons,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
107,8,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/icons/settings/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/icons/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,9,9,0,assets/runtime/ui/secondary_centered_v04/elements/icons | assets/runtime/ui/secondary_centered_v04/elements/icons/settings,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
108,7,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,41,0,assets/runtime/ui/interfaces/first_purchase/decorations | assets/runtime/ui/interfaces/first_purchase/rewards | assets/runtime/ui/interfaces/shop/icons,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
109,8,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/commerce/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,12,12,0,assets/runtime/ui/interfaces/first_purchase/decorations | assets/runtime/ui/interfaces/first_purchase/rewards | assets/runtime/ui/secondary_centered_v04/elements/pages/commerce,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
110,8,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/daily/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,9,9,0,assets/runtime/ui/secondary_centered_v04/elements/pages/daily,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
111,8,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/pause/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,2,0,assets/runtime/ui/secondary_centered_v04/elements/pages/pause,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
112,8,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/shop/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,18,18,0,assets/runtime/ui/interfaces/shop/icons | assets/runtime/ui/secondary_centered_v04/elements/pages/shop,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
113,6,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/frames/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
114,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/previews/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,10,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
115,6,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/previews/implementation_previews/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/previews/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
116,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/qa/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
117,4,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/,art/production/ui/chapter01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,31,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
118,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/masters_alpha_2160x3840/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
119,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/masters_chroma_2160x3840/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
120,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/qa/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,11,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
121,6,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/qa/runtime_941x1672/,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v03/qa/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
122,4,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/,art/production/ui/chapter01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,20,0,assets/runtime/ui/interfaces/battle_pause/backplates | assets/runtime/ui/interfaces/exit_confirm/backplates | assets/runtime/ui/interfaces/first_purchase/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
123,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,20,0,assets/runtime/ui/interfaces/battle_pause/backplates | assets/runtime/ui/interfaces/exit_confirm/backplates | assets/runtime/ui/interfaces/first_purchase/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
124,6,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge/,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,assets/runtime/ui/interfaces/battle_pause/backplates | assets/runtime/ui/interfaces/exit_confirm/backplates | assets/runtime/ui/interfaces/first_purchase/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
125,6,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/runtime_941x1672/,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
126,4,art/production/ui/chapter01/2026-08-13_centered_interfaces_v01/,art/production/ui/chapter01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,11,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
127,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_v01/qa/,art/production/ui/chapter01/2026-08-13_centered_interfaces_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
128,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_v01/reference_composites/,art/production/ui/chapter01/2026-08-13_centered_interfaces_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
129,5,art/production/ui/chapter01/2026-08-13_centered_interfaces_v01/source/,art/production/ui/chapter01/2026-08-13_centered_interfaces_v01/,生产可编辑源 / Editable Production Source,空目录或仅含非总账文件 / Empty or non-catalog files only,0,0,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
130,4,art/production/ui/chapter01/2026-08-14_secondary_in_game_acceptance/,art/production/ui/chapter01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,11,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
131,5,art/production/ui/chapter01/2026-08-14_secondary_in_game_acceptance/battle/,art/production/ui/chapter01/2026-08-14_secondary_in_game_acceptance/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,2,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
132,5,art/production/ui/chapter01/2026-08-14_secondary_in_game_acceptance/hub/,art/production/ui/chapter01/2026-08-14_secondary_in_game_acceptance/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,9,9,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
133,3,art/production/ui/daily_program_composition/,art/production/ui/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,68,0,assets/runtime/ui/daily_program_composition_v01/icons | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
134,4,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/,art/production/ui/daily_program_composition/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,5,37,0,assets/runtime/ui/daily_program_composition_v01/icons | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
135,5,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,23,0,assets/runtime/ui/daily_program_composition_v01/icons | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
136,6,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts/backplates/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,14,14,0,assets/runtime/ui/interfaces/daily_program/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
137,6,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts/icons/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,9,9,0,assets/runtime/ui/daily_program_composition_v01/icons | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
138,5,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/previews/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
139,5,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/qa/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
140,5,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/source/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,6,6,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
141,4,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/,art/production/ui/daily_program_composition/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,31,0,assets/runtime/ui/daily_signin_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
142,5,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,26,0,assets/runtime/ui/daily_signin_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
143,6,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,16,16,0,assets/runtime/ui/interfaces/daily_program/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
144,6,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,assets/runtime/ui/daily_signin_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
145,5,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
146,5,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/qa/,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
147,3,art/production/ui/daily_signin/,art/production/ui/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,46,0,assets/runtime/ui/daily_signin_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
148,4,art/production/ui/daily_signin/2026-08-14_cutouts_v01/,art/production/ui/daily_signin/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,46,0,assets/runtime/ui/daily_signin_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
149,5,art/production/ui/daily_signin/2026-08-14_cutouts_v01/chroma/,art/production/ui/daily_signin/2026-08-14_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,3,3,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
150,5,art/production/ui/daily_signin/2026-08-14_cutouts_v01/cutouts/,art/production/ui/daily_signin/2026-08-14_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,14,14,0,assets/runtime/ui/daily_signin_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
151,5,art/production/ui/daily_signin/2026-08-14_cutouts_v01/daily_signin_cutouts_v01/,art/production/ui/daily_signin/2026-08-14_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,7,19,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
152,6,art/production/ui/daily_signin/2026-08-14_cutouts_v01/daily_signin_cutouts_v01/cutouts/,art/production/ui/daily_signin/2026-08-14_cutouts_v01/daily_signin_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,14,14,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
153,5,art/production/ui/daily_signin/2026-08-14_cutouts_v01/previews/,art/production/ui/daily_signin/2026-08-14_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
154,5,art/production/ui/daily_signin/2026-08-14_cutouts_v01/qa/,art/production/ui/daily_signin/2026-08-14_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,5,5,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
155,5,art/production/ui/daily_signin/2026-08-14_cutouts_v01/source/,art/production/ui/daily_signin/2026-08-14_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
156,3,art/production/ui/daily_tasks/,art/production/ui/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,25,0,assets/runtime/ui/daily_tasks_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
157,4,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/,art/production/ui/daily_tasks/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,25,0,assets/runtime/ui/daily_tasks_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
158,5,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/chroma/,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,3,3,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
159,5,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/cutouts/,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,11,11,0,assets/runtime/ui/daily_tasks_hd_v01 | assets/runtime/ui/interfaces,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
