行号 / Row ID,资源中文名 / Asset Name CN,资源英文名 / Asset Name EN,模块中文 / Module CN,模块英文 / Module EN,资源类型中文 / Type CN,资源类型英文 / Type EN,主状态中文 / Status CN,主状态英文 / Status EN,审核状态中文 / Review Status CN,审核状态英文 / Review Status EN,当前相对路径 / Current Relative Path,当前绝对路径 / Current Absolute Path,是否被引用 / Referenced,引用数量 / Reference Count,主要引用位置 / Primary References,当前运行版本 / Runtime Version,原始来源路径 / Original Source Path,生产来源路径 / Production Source Path,替代前资源 / Replaced Asset,替代后资源 / Replacement Asset,来源判定方法 / Provenance Method,来源可信度 / Provenance Confidence,文件格式 / Extension,像素尺寸 / Dimensions,文件大小 / Size Bytes,Alpha 状态 / Alpha,是否含烘焙文字 / Text Baked,SHA-256,Git 状态 / Git State,最后修改时间 / Last Modified,备注与行动 / Notes and Action
11,框06,Frame 06,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_06.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_06.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_06.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,116613,有 Alpha / Alpha,未知 / Unknown,24df9bc2d1d5139baf5f81ca1e6a96dd6919f7b2c991abe9b7cccc153970cb2d,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.115Z,
12,框07,Frame 07,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_07.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_07.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_07.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,109017,有 Alpha / Alpha,未知 / Unknown,42aa1fd24626beeedf124d1ffc0e50efe49c409a8b6482d1d46576c6a6c69432,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.118Z,
13,框08,Frame 08,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_08.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_08.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_08.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,96535,有 Alpha / Alpha,未知 / Unknown,0d7a8298845e624ca224fd3ff3448a5549403fbb4d9f007858610948be8e978e,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.120Z,
14,框09,Frame 09,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_09.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_09.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_09.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,82002,有 Alpha / Alpha,未知 / Unknown,dcfd9dbd4055687d57008dddc5a510da3530db0841fc9f5027e5509094dc57dc,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.123Z,
15,框10,Frame 10,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_10.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_10.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_10.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,65756,有 Alpha / Alpha,未知 / Unknown,cd4faff60326a59b841152458a2df40170f00270ac2e73fe980e67103eb593b9,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.125Z,
16,框11,Frame 11,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_11.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_11.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_11.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,52082,有 Alpha / Alpha,未知 / Unknown,ce69c1764b94bfa950e02e8aabd11b13441f0ebc00e7db3de852dad71b68be85,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.127Z,
17,框12,Frame 12,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_12.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_12.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_12.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,47189,有 Alpha / Alpha,未知 / Unknown,7e76cbc78d01ac7749db108a06be96bf085c4a3cc2167525eff615617eb2cf7b,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.129Z,
18,框13,Frame 13,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_13.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_13.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_13.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,37968,有 Alpha / Alpha,未知 / Unknown,ffea7a963fa15a45abdf42529783f75b92e6915ba4d1d86ef9f48a9615558a81,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.130Z,
19,框14,Frame 14,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_14.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_14.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_14.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,25765,有 Alpha / Alpha,未知 / Unknown,7f604abb4a1be2b95955456b76ea6ddd64e8b193ff30e5ade10c25c845ee765a,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.132Z,
20,框15,Frame 15,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_15.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_15.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_15.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,20354,有 Alpha / Alpha,未知 / Unknown,2c0a2e0ed68e6079fd215e8d82294b56a4225e25e0f3171cf4448cb1f50df8e9,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.134Z,
21,框16,Frame 16,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_16.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_16.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_16.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,22382,有 Alpha / Alpha,未知 / Unknown,e9c0cabd36b905e0f60ff3b4eb03bd2c0a4329994c4b5cfde426d2bbbffb684e,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.135Z,
22,框17,Frame 17,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_17.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_17.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_17.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,16170,有 Alpha / Alpha,未知 / Unknown,3a3c0aa191592de4ba864c27f41f8dc1a90626b2eb896ea6e1b188013a37081a,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.137Z,
23,框18,Frame 18,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_18.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_18.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_18.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,15448,有 Alpha / Alpha,未知 / Unknown,0effde0fdaf995b7c4da77e639f5d6ba936897f0fa0df01fd7007e58627937e4,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.138Z,
24,框19,Frame 19,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_19.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_19.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_19.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,13694,有 Alpha / Alpha,未知 / Unknown,bcaf07832bbb51e157518c57970fb1b26a4264e323a9dffd04bc5323fdac5fc3,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.140Z,
25,框20,Frame 20,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_20.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_20.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_20.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,13306,有 Alpha / Alpha,未知 / Unknown,91d8ee88cc3b343ae7dbbb43b05d42bca3abe3231f1e19b1382507ec64dc7561,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.142Z,
26,框21,Frame 21,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_21.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_21.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_21.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,13133,有 Alpha / Alpha,未知 / Unknown,cfd37b85905ae71efc45cb32fe21682599d644da9bc4ffd23b33dd3a6e0f672d,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.143Z,
27,框22,Frame 22,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_22.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_22.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_22.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,13133,有 Alpha / Alpha,未知 / Unknown,cfd37b85905ae71efc45cb32fe21682599d644da9bc4ffd23b33dd3a6e0f672d,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.144Z,
28,框23,Frame 23,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_23.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_23.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_23.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,13008,有 Alpha / Alpha,未知 / Unknown,a95a3655fc7453fa5c380d2001fc65ebd4bfc995769e5777f83f74032dd7fc0b,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.145Z,
29,框24,Frame 24,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_24.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_24.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_24.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,13008,有 Alpha / Alpha,未知 / Unknown,a95a3655fc7453fa5c380d2001fc65ebd4bfc995769e5777f83f74032dd7fc0b,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.146Z,
30,爆炸影响特效合集 严格保真 3秒循环,Naming Pending (爆炸影响特效合集 严格保真 3秒循环),历史特效来源,Legacy FX Sources,视频,Video,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_3秒循环.mp4,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v02_严格保真\爆炸影响特效合集_严格保真_3秒循环.mp4,否 / No,0,,v02,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_3秒循环.mp4,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.mp4,,1075981,不适用 / N/A,未知 / Unknown,ca85f0bc94a0435e1b8cbdb21314a5b8e7a95eaa8062625b6f16cfdaf3553028,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.248Z,
31,爆炸影响特效合集 严格保真 透明循环,Naming Pending (爆炸影响特效合集 严格保真 透明循环),历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_透明循环.webp,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v02_严格保真\爆炸影响特效合集_严格保真_透明循环.webp,否 / No,0,,v02,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_透明循环.webp,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.webp,613×878,254010,有 Alpha / Alpha,未知 / Unknown,134a90ce4ba2021a3b4c613104792666d7eb1c88ceff93a8274f16574be6bf44,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.254Z,
32,爆炸影响特效合集 严格保真 预览,Naming Pending (爆炸影响特效合集 严格保真 预览),历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_预览.gif,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v02_严格保真\爆炸影响特效合集_严格保真_预览.gif,否 / No,0,,v02,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_预览.gif,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.gif,613×878,432531,有 Alpha / Alpha,未知 / Unknown,55ac8a7b9e83a23cfc262e634e695a1b4815371f3e730c7821cc9a69c3fdf04f,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.263Z,
33,原参考 vs 严格保真V2 关键帧对照,Naming Pending (原参考 vs 严格保真V2 关键帧对照),历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/原参考_vs_严格保真V2_关键帧对照.jpg,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v02_严格保真\原参考_vs_严格保真V2_关键帧对照.jpg,否 / No,0,,v2,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/原参考_vs_严格保真V2_关键帧对照.jpg,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.jpg,3065×1756,638562,无 Alpha / Opaque,未知 / Unknown,24386c48156aca1ddfe61fa2c2d72f76e4cc8984c55ba504b23c46e8d0064533,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.237Z,
34,框00,Frame 00,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_00.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v02_严格保真\frames_rgba\frame_00.png,否 / No,0,,v02,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_00.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,613×878,4978,有 Alpha / Alpha,未知 / Unknown,4193ca8c265c8f368e36ee7081f776150f3b4361d9553b34178123a9ed12ad7c,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.170Z,
